campaignBudget,proposedRate,instagramFollowers,youtubeSubscribers,contentIdea,previousWork,status
50000,7000,15000,2500,"Create funny product skits and story highlights.","Worked with Adidas and Amazon brands.",accepted
40000,5000,12000,1000,"Organize a viral dance challenge around the product.","Created viral dance reels for Pepsi.",accepted
60000,10000,20000,5000,"Make unboxing and first reaction videos.","Worked with Flipkart, Myntra in tech unboxing.",accepted
35000,4500,8000,1200,"Share lifestyle shots with product integrations.","Fashion influencer with Collabs at H&M.",accepted
30000,4000,6000,500,"Do honest product reviews on stories and feed.","Micro-influencer in beauty niche, Loreal collab.",rejected
75000,15000,25000,6000,"Run a month-long mini-series featuring brand.","Past collab: Netflix India web series promo.",accepted
28000,3000,5000,800,"Show behind-the-scenes content using product.","Worked with small local brands.",rejected
45000,8000,14000,2000,"Highlight key product benefits in daily vlogs.","Gadget vlogger for PhonePe.",accepted
37000,3500,7000,900,"Feature brand in funny meme formats.","Comedy content creator with Swiggy collab.",accepted
60000,12000,18000,4500,"Make aesthetic reels showing lifestyle shots.","Photography collabs with Canon and Nikon.",accepted
40000,5000,11000,1300,"Talk about brand experience in relatable skits.","Small-time creator growing audience.",rejected
52000,8500,16000,3100,"Create tutorials showcasing brand features.","Tutorial reels for UrbanCompany and LensKart.",accepted
30000,2500,4000,400,"Share everyday use of product subtly.","Microblogger for local clothing brands.",rejected
90000,20000,30000,8000,"Host giveaways and live sessions with audience.","Massive engagement with Giveaways before.",accepted
47000,7500,13000,2700,"Share family-oriented content using product.","Worked with Mamaearth and Johnson's.",accepted
35000,4000,6000,1000,"Make parodies involving product use.","Funny parody artist, niche audience.",rejected
80000,16000,26000,5500,"Create Instagram guides featuring product.","Travel influencer experience with MakeMyTrip.",accepted
25000,2000,3000,600,"Highlight brand journey through 3 short reels.","Upcoming content creator.",rejected
72000,13000,21000,5200,"Shoot cinematic reels using product theme.","Visual storyteller for Sony.",accepted
38000,5000,9000,1500,"Host a challenge contest around the product.","Dance challenge creator with 2M reel views.",accepted
60000,11000,17000,4300,"Post creative storytelling reels weekly.","Created viral comic stories before.",accepted
40000,6000,12000,2000,"Focus on eco-friendly branding with tutorials.","Sustainability blogger.",accepted
31000,3500,5000,1000,"Show journey of product from unbox to use.","Unbox Therapy style creator.",rejected
85000,17000,28000,7000,"Develop short skits integrating product naturally.","High engagement drama reels.",accepted
33000,3000,7000,900,"Highlight feature benefits via carousels.","Small influencer, first big collab.",rejected
48000,9000,15000,2700,"Host live Q&A session explaining brand.","Host for Instagram live sessions for startups.",accepted
35000,4500,8000,1100,"Make funny pranks involving product.","Comedy reel specialist.",rejected
91000,21000,32000,9000,"Integrate brand in travel vlogging episodes.","Top-tier travel vlogger, Redbull experience.",accepted
30000,2500,5000,700,"Small reels showing how product fits everyday life.","Local influencer for bakeries.",rejected
78000,14000,25000,6300,"Shoot a cinematic short film featuring product.","Short film contest winner.",accepted
50000,8500,14000,2500,"Create IGTV series based on product experience.","Long format content for tech brands.",accepted
39000,5000,10000,1800,"Show tutorials on using the product daily.","Tutorial creator with DIY background.",accepted
60000,12000,17000,4500,"Promote brand in relatable storytelling videos.","Lifestyle and family vlogger.",accepted
28000,3000,4000,500,"Make meme-style reels promoting product.","Small comedy creator.",rejected
86000,18000,27000,6200,"Launch exclusive reels with early access content.","Fashion collabs for Nykaa and Zara.",accepted
42000,7000,13000,2300,"Post relatable everyday life using product.","New food vlogger collabs.",accepted
30000,2500,4000,600,"Simple product demos in daily life content.","Entry-level influencer.",rejected
70000,15000,24000,5000,"Full-blown product placement in trending reels.","Collaborated with Spotify Wrapped promotion.",accepted
36000,4000,7000,1000,"Quick funny reels showing product fails.","Humor content in gadget niche.",rejected
50000,8000,14000,2600,"Create fast-paced, high-energy product showcases.","Youth culture specialist reels.",accepted
